perturbation,n,len_ratio,metric,before,after,rel_change,hit_rate
ideas_up,198,1.010989010989011,idea_spread,0.7512474792322728,0.7547150860832195,0.004615798317873077,0.4898989898989899
topics_down,199,1.0108932461873639,idea_spread,0.7513518485441879,0.7178733962115331,-0.04455762290000658,0.6984924623115578
topics_up,200,1.0194244966231936,idea_spread,0.751895761936903,0.8041439459845424,0.06948860027225948,0.905
ideas_down,200,1.0108125308465596,idea_spread,0.751895761936903,0.6342705953493715,-0.1564381295148227,0.915
syntax_complex,200,1.0210896960711637,mean_sent_len,19.85551328616416,30.996260896568586,0.5610908894592812,0.92
words_common,200,1.0406834696804905,mean_log_rank,5.047837318635854,4.714885875482954,-0.06595922612713631,0.985
syntax_simple,200,1.004347908278039,mean_sent_len,19.544575783081374,6.7343692073501185,-0.6554353861607127,0.99
words_rare,200,1.012586537395244,mean_log_rank,5.0449801913253784,5.621862423677666,0.11434776955997004,0.99
lexical_diversity_down,200,1.0377323234839801,ttr,0.5250960505341249,0.43834072144403946,-0.1652180186878922,1.0
lexical_diversity_up,200,0.9718769360557848,ttr,0.5315538430804173,0.746568620779274,0.40450234815878794,1.0
